sample	fastp_reads_after_filtering	fastp_surviving_percent	fastp_adapter_percent	fastp_q30_percent_after_filtering	fastp_gc_percent_after_filtering	star_input_reads_million	star_mapped_percent	star_uniquely_mapped_percent	star_multimapped_million	samtools_mapped_reads_million	samtools_raw_total_sequences_million	picard_duplication_percent	tissue	phenotype	malpigmentation_type	surface	pigmentation	condition	group_code	group_label	included_in_analysis	exclusion_reason	salmon_gene_total_counts	salmon_detected_genes_count_ge_10	featurecounts_assigned	htseq_assigned
P1G	52.006657999999995	98.76248971909656	5.880245682020559	95.1622	51.232299999999995	26.003328999999997	97.7	89.65	2.092027	50.80957	50.80957	37.4405	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	TRUE	NA	11507781.966	14592	13917360	13847852
P2G	49.14516	98.25682228414688	5.295282732210935	93.9036	50.159299999999995	24.57258	97.19	89.31	1.937326	47.764954	47.764954	27.876	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	TRUE	NA	9488692.006	14325	12019718	11960812
P31	45.606004	98.27305685550294	4.800472269162738	94.5577	47.5353	22.803002	97.6	90.64	1.587826	44.511092	44.511092	64.558	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	TRUE	NA	9019795.039	13362	11219015	11162267
P32	46.614042	98.59009147419611	4.767476153461153	95.2445	48.4891	23.307021	97.65	89.75	1.841873	45.520547	45.520547	44.076	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	TRUE	NA	9180782.962	14257	11287677	11249419
P33	85.833044	98.2669745856476	5.7301169616017695	95.8065	48.7046	42.916522	97.33	91.01	2.714387	83.547744	83.547744	48.308	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	TRUE	NA	17807075.963	15583	22214158	22118040
P34	41.456004	98.57281997417648	3.3222813023956363	95.4125	47.338	20.728002	97.61	90.95	1.379655	40.465301	40.465301	58.9615	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	TRUE	NA	8151700.024	13768	10167309	10126105
P35	43.365162	98.79829461999331	3.502921288229261	94.6212	49.453	21.682581	97.84	90.93	1.499113	42.42986	42.42986	57.428999999999995	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	TRUE	NA	9480322.984	13572	11726691	11679585
P36	49.255388	98.4842955426145	4.510085328256938	94.3522	47.5723	24.627694	97.9	91.23	1.642674	48.220493	48.220493	61.0332	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	TRUE	NA	9967196.032	13376	12240299	12192383
P41	49.529374	98.46173120056922	4.423387057977179	95.1711	50.4317	24.764687	97.48	89.27	2.0332779999999997	48.283750999999995	48.283750999999995	49.0659	Skin	Malpigmented	Pseudoalbinism	Ocular	Dark	Skin_Malpigmented_Pseudoalbinism_Ocular_Dark	P_OD	Pseudoalbino ocular dark	TRUE	NA	12065433.945	13761	14132426	14086080
P42	56.221906	98.15302246241838	3.810112847358614	95.268	49.1507	28.110953	97.79	90.39	2.080589	54.980146	54.980146	66.19279999999999	Skin	Malpigmented	Pseudoalbinism	Ocular	Light	Skin_Malpigmented_Pseudoalbinism_Ocular_Light	P_OL	Pseudoalbino ocular light	TRUE	NA	12070592.052	14366	14547941	14491330
